x,y,time_seconds,current_time
812,528,0.0,2024-06-23T21:44:46.621Z
854,514,0.016652,2024-06-23T21:44:46.637Z
901,581,0.033304,2024-06-23T21:44:46.668Z
915,600,0.04996300000000001,2024-06-23T21:44:46.684Z
936,605,0.06662199999999999,2024-06-23T21:44:46.700Z
942,620,0.08327899999999999,2024-06-23T21:44:46.715Z
942,622,0.09992499999999999,2024-06-23T21:44:46.731Z
937,623,0.116569,2024-06-23T21:44:46.746Z
935,630,0.133211,2024-06-23T21:44:46.762Z
935,638,0.149868,2024-06-23T21:44:46.778Z
939,640,0.16652499999999998,2024-06-23T21:44:46.793Z
965,608,0.18318099999999998,2024-06-23T21:44:46.815Z
995,553,0.19982299999999997,2024-06-23T21:44:46.825Z
1000,499,0.216445,2024-06-23T21:44:46.840Z
1003,501,0.23306500000000002,2024-06-23T21:44:46.856Z
1006,505,0.24969599999999997,2024-06-23T21:44:46.872Z
1005,507,0.266349,2024-06-23T21:44:46.887Z
1007,504,0.283001,2024-06-23T21:44:46.915Z
1004,500,0.299653,2024-06-23T21:44:46.935Z
1007,508,0.316307,2024-06-23T21:44:46.950Z
1012,511,0.332961,2024-06-23T21:44:46.966Z
1012,505,0.349615,2024-06-23T21:44:46.982Z
998,467,0.366269,2024-06-23T21:44:46.997Z
941,379,0.382922,2024-06-23T21:44:47.016Z
936,288,0.399574,2024-06-23T21:44:47.029Z
912,342,0.416227,2024-06-23T21:44:47.044Z
888,396,0.432882,2024-06-23T21:44:47.060Z
818,282,0.44953600000000005,2024-06-23T21:44:47.076Z
770,249,0.46619,2024-06-23T21:44:47.091Z
669,184,0.482843,2024-06-23T21:44:47.116Z
680,205,0.49949699999999997,2024-06-23T21:44:47.123Z
683,209,0.516149,2024-06-23T21:44:47.139Z
686,204,0.532807,2024-06-23T21:44:47.154Z
691,202,0.549469,2024-06-23T21:44:47.170Z
681,211,0.566132,2024-06-23T21:44:47.201Z
668,211,0.582789,2024-06-23T21:44:47.217Z
672,211,0.599443,2024-06-23T21:44:47.233Z
675,206,0.616096,2024-06-23T21:44:47.248Z
652,202,0.63275,2024-06-23T21:44:47.264Z
629,201,0.649411,2024-06-23T21:44:47.280Z
615,203,0.666073,2024-06-23T21:44:47.295Z
611,204,0.682735,2024-06-23T21:44:47.316Z
608,199,0.69939,2024-06-23T21:44:47.327Z
611,195,0.716044,2024-06-23T21:44:47.343Z
613,204,0.732697,2024-06-23T21:44:47.358Z
611,209,0.749351,2024-06-23T21:44:47.375Z
612,202,0.766005,2024-06-23T21:44:47.390Z
616,202,0.782659,2024-06-23T21:44:47.416Z
629,214,0.799313,2024-06-23T21:44:47.434Z
627,219,0.815967,2024-06-23T21:44:47.437Z
619,209,0.8326209999999999,2024-06-23T21:44:47.453Z
623,204,0.849275,2024-06-23T21:44:47.485Z
622,208,0.865929,2024-06-23T21:44:47.500Z
626,213,0.882583,2024-06-23T21:44:47.516Z
635,212,0.899237,2024-06-23T21:44:47.532Z
629,206,0.915892,2024-06-23T21:44:47.548Z
625,207,0.9325450000000001,2024-06-23T21:44:47.563Z
628,209,0.949199,2024-06-23T21:44:47.579Z
652,208,0.965853,2024-06-23T21:44:47.594Z
703,209,0.9825069999999999,2024-06-23T21:44:47.617Z
719,216,0.9991610000000001,2024-06-23T21:44:47.626Z
718,210,1.015815,2024-06-23T21:44:47.642Z
724,215,1.0324689999999999,2024-06-23T21:44:47.657Z
720,217,1.049122,2024-06-23T21:44:47.673Z
713,217,1.065775,2024-06-23T21:44:47.689Z
717,215,1.08243,2024-06-23T21:44:47.717Z
725,213,1.0990829999999998,2024-06-23T21:44:47.720Z
726,218,1.1157370000000002,2024-06-23T21:44:47.736Z
715,215,1.13239,2024-06-23T21:44:47.768Z
710,216,1.1490429999999998,2024-06-23T21:44:47.783Z
